parameter_id,IMPC_IMM_014_002
gene_symbol,Chtop
parameter_name,Treg cells - % of live leukocytes (Panel A)
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1417523
gene_accession_id,MGI:1913761
analysis_id,24l5211qnj03a0a
