parameter_id,MGP_PBI_015_001
pvalue,0.1613854
gene_accession_id,MGI:102519
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_symbol,Cst3
parameter_name,IgD+ mature B cell percentage
analysis_id,0w6d48p86305s1x
