parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:107191
parameter_name,PP1 startle magnitude
mouse_strain,C57BL
analysis_id,19470qt3y27o8ix
pvalue,0.5897107
gene_symbol,Bmpr1b
mouse_life_stage,Early adult
