parameter_name,Tremor
pvalue,0.8496141
mouse_life_stage,Early adult
mouse_strain,129SV
analysis_id,0ft475std7397aa
parameter_id,ESLIM_008_001_002
gene_symbol,Src
gene_accession_id,MGI:98397
