mouse_life_stage,Early adult
gene_symbol,Usp21
pvalue,0.7464515
mouse_strain,C57BL
parameter_id,IMPC_ECH_013_001
analysis_id,1w17r0zio5zf18a
gene_accession_id,MGI:1353665
parameter_name,HR
