parameter_name,Kyphosis
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6106982
gene_symbol,Gba2
gene_accession_id,MGI:2654325
parameter_id,IMPC_XRY_057_001
analysis_id,1854348kel7lnox
