pvalue,0.1091708
parameter_name,Effector Treg cells - % of Treg
gene_accession_id,MGI:98386
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_010_001
analysis_id,0hzz62q31897raa
gene_symbol,Sptan1
