gene_symbol,Cth
mouse_life_stage,Early adult
parameter_name,18kHz-evoked ABR Threshold
mouse_strain,C57BL
parameter_id,IMPC_ABR_008_001
pvalue,0.4021878
analysis_id,0am5ydxb39r4jwa
gene_accession_id,MGI:1339968
