analysis_id,23j0abc596p7jha
parameter_name,Skin color - tail
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_061_001
gene_accession_id,MGI:2654325
pvalue,0.7182733
mouse_strain,C57BL
gene_symbol,Gba2
