analysis_id,10195uv5daf2m6a
parameter_name,CD5+ gd T cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_079_001
gene_accession_id,MGI:106637
gene_symbol,Slc30a2
pvalue,0.974508
