gene_accession_id,MGI:1098604
gene_symbol,Rragd
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_066_001
pvalue,0.214033
parameter_name,Effector CD4+ T helper cells - % of CD45+
analysis_id,08940prc69n90lm
