analysis_id,0c48wyf1h6i5ujx
gene_symbol,Ntrk1
mouse_life_stage,Early adult
gene_accession_id,MGI:97383
mouse_strain,C57BL
pvalue,0.7727775
parameter_name,Response amplitude - S
parameter_id,IMPC_ACS_006_001
