mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.9058117
gene_accession_id,MGI:1916987
gene_symbol,Ttl
analysis_id,0jsm2pa3193u87m
parameter_id,M-G-P_025_001_001
parameter_name,Glucose
