pvalue,0.9835894
parameter_id,IMPC_HEM_031_001
mouse_strain,C57BL
analysis_id,15pr6m8d9z2560a
mouse_life_stage,Early adult
parameter_name,Lymphocyte differential count
gene_symbol,Vxn
gene_accession_id,MGI:1924232
