analysis_id,115yy36d2gkf6bm
parameter_name,Plasmacytoid DC - % of CD45+
pvalue,0.7163055
mouse_life_stage,Early adult
parameter_id,MGP_MLN_115_001
gene_symbol,Anp32e
gene_accession_id,MGI:1913721
mouse_strain,C57BL
