gene_symbol,Srp9
analysis_id,01fj2o71qs42e5m
parameter_name,Tremor
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6145621
gene_accession_id,MGI:1350930
parameter_id,IMPC_CSD_030_001
