pvalue,0.3458721
analysis_id,141x9ow09467fha
parameter_name,Total holepokes
gene_accession_id,MGI:103300
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_HBD_001_001
gene_symbol,Rbl1
