mouse_life_stage,Early adult
gene_accession_id,MGI:1919471
gene_symbol,Cimip1
mouse_strain,C57BL
parameter_name,Creatinine
analysis_id,10883m0cz5v8d9m
pvalue,0.4656688
parameter_id,IMPC_CBC_005_001
