parameter_name,Lean/Body weight
parameter_id,IMPC_DXA_008_001
gene_accession_id,MGI:1923304
analysis_id,112ofuls94128cx
mouse_life_stage,Early adult
gene_symbol,Prrc2b
mouse_strain,C57BL
pvalue,0.4315021
