parameter_id,JAX_OFD_017_001
pvalue,0.6861189
parameter_name,Center average speed
analysis_id,03aq764yy367bka
gene_accession_id,MGI:104793
mouse_life_stage,Early adult
gene_symbol,Runx1t1
mouse_strain,C57BL
