pvalue,0.3079046
mouse_life_stage,Early adult
gene_accession_id,MGI:1924933
mouse_strain,C57BL
analysis_id,22onv8j8f12z45a
gene_symbol,Ehmt1
parameter_id,JAX_OFD_050_001
parameter_name,Percentage center movement time
