analysis_id,1d23djy5336274x
gene_accession_id,MGI:1922946
mouse_life_stage,Early adult
pvalue,0.356036
parameter_id,IMPC_OFD_012_001
parameter_name,Periphery permanence time
gene_symbol,Prpf6
mouse_strain,C57BL
