parameter_name,Sodium
mouse_strain,C57BL
analysis_id,1980048gxy78vfx
gene_accession_id,MGI:107363
pvalue,0.1252744
parameter_id,IMPC_CBC_001_001
mouse_life_stage,E18.5
gene_symbol,Stxbp1
