analysis_id,0cf4k5apu02ldim
pvalue,0.7218467
gene_accession_id,MGI:1350930
gene_symbol,Srp9
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_OFD_022_001
parameter_name,Percentage center time
