parameter_name,Whole arena average speed
pvalue,0.3544137
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_009_001
analysis_id,1ihs5t9hnnm11ha
gene_accession_id,MGI:1351315
gene_symbol,Eloa
