parameter_name,Fructosamine
analysis_id,0j2865258885j6x
gene_symbol,Trim59
gene_accession_id,MGI:1914199
parameter_id,IMPC_CBC_020_001
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0.4953155
