mouse_strain,C57BL
mouse_life_stage,Middle aged adult
analysis_id,07u3f43r4wxmjta
pvalue,0.06121722
gene_symbol,Unc5c
parameter_name,Phosphorus
gene_accession_id,MGI:1095412
parameter_id,IMPC_CBC_010_001
