gene_accession_id,MGI:1924232
gene_symbol,Vxn
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GRS_010_001
pvalue,0.132297
parameter_name,Forelimb grip strength normalised against body weight
analysis_id,1k33353df29hola
