analysis_id,08uzu02u8474kqm
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of ab T cells
gene_symbol,Inpp5e
mouse_strain,C57BL
pvalue,0.05752027
parameter_id,MGP_MLN_003_001
gene_accession_id,MGI:1927753
