analysis_id,08yb1o2cc62g2nx
gene_accession_id,MGI:1924265
mouse_strain,C57BL
pvalue,0.9974112
mouse_life_stage,Early adult
parameter_name,Respiration Rate
gene_symbol,Mpped2
parameter_id,IMPC_ECH_018_001
