gene_symbol,Sptan1
analysis_id,0245108s7uz1l8m
parameter_id,MGP_MLN_080_001
parameter_name,Effector gd cells - % of CD45+
pvalue,0.2250577
mouse_life_stage,E15.5
gene_accession_id,MGI:98386
mouse_strain,C57BL
