parameter_name,Total bilirubin
mouse_strain,C57BL
parameter_id,IMPC_CBC_008_001
pvalue,0.51731
mouse_life_stage,E15.5
gene_symbol,Fitm2
gene_accession_id,MGI:2444508
analysis_id,2i6grpzh147780a
