pvalue,0.6814163
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,14nz9t59c26643x
gene_accession_id,MGI:101813
gene_symbol,Coq3
parameter_id,MGP_IMM_086_001
parameter_name,CD5+ gd T cells - % of CD45+
