pvalue,0.5628369
gene_symbol,Wdr12
mouse_life_stage,E12.5
gene_accession_id,MGI:1927241
mouse_strain,C57BL
analysis_id,05e51ha85tpjaox
parameter_id,IMPC_GRS_010_001
parameter_name,Forelimb grip strength normalised against body weight
