analysis_id,28x97bm4y83rf7a
parameter_name,% Pre-pulse inhibition - PPI4
pvalue,0.4264327
gene_symbol,Map7d1
gene_accession_id,MGI:2384297
mouse_life_stage,E12.5
parameter_id,IMPC_ACS_036_001
mouse_strain,C57BL
