mouse_life_stage,Early adult
pvalue,0.4320234
parameter_name,Response amplitude - S
gene_accession_id,MGI:1913790
analysis_id,1wpho841u1vtt4a
parameter_id,IMPC_ACS_006_001
gene_symbol,Fam107b
mouse_strain,C57BL
