parameter_id,MGP_PBI_009_001
gene_symbol,Ttll7
mouse_strain,C57BL
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.4436921
analysis_id,12cf043z6685z4m
mouse_life_stage,Early adult
gene_accession_id,MGI:1918142
