gene_accession_id,MGI:1350930
gene_symbol,Srp9
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_001_001
pvalue,0.9478496
parameter_name,Sodium
analysis_id,127akqpj670o3px
