analysis_id,0692417a41eyt3m
parameter_id,UCDIP_CSD_014_001
parameter_name,Coat - hair texture / appearance - back
gene_accession_id,MGI:1096385
mouse_strain,C57BL
gene_symbol,Bcan
pvalue,0.3606844
mouse_life_stage,Late adult
