mouse_life_stage,E9.5
analysis_id,0l78sc9h82n2xkx
gene_symbol,Slc30a2
parameter_id,IMPC_GRS_011_001
mouse_strain,C57BL
pvalue,0.2049075
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:106637
