gene_accession_id,MGI:98960
gene_symbol,Wnt6
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,MGP_MLN_012_001
pvalue,0.6603265
parameter_name,Total CD8+ T cells - % of ab T cells
analysis_id,1f2q2w64430672a
