analysis_id,0j55tkl3ft1zj1m
gene_symbol,Dph6
gene_accession_id,MGI:1913882
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
parameter_name,Dark side time spent
mouse_strain,C57BL
pvalue,0.9618179
