pvalue,0.8122028
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Coat - hair texture / appearance - head
analysis_id,02x42vxp3s42h5m
gene_symbol,Slc30a2
parameter_id,IMPC_CSD_015_001
gene_accession_id,MGI:106637
