mouse_life_stage,Early adult
gene_accession_id,MGI:1913882
gene_symbol,Dph6
pvalue,0.9137527
parameter_id,IMPC_CSD_029_001
mouse_strain,C57BL
analysis_id,1l77h406n6zzusa
parameter_name,Activity (body position)
