mouse_life_stage,Early adult
parameter_name,Percentage center movement time
gene_accession_id,MGI:104294
gene_symbol,Tyro3
parameter_id,IMPC_OFD_050_001
pvalue,0.08298324
mouse_strain,C57BL
analysis_id,01f54429u7lju0m
