Analysis_id,09fm0600ge4075x
Mouse_life_stage,E12.5
pvalue,0.1312832
parameter_name,Monocytes - % of CD45+
Gene_symbol,Srp9
Parameter_id,MGP_IMM_124_001
Gene_accession_id,MGI:1350930
Mouse_strain,C57BL
