parameter_name,Respiratory Exchange Ratio
gene_symbol,Tex38
mouse_life_stage,Early adult
analysis_id,0r840a69dvn2orm
parameter_id,IMPC_CAL_017_001
gene_accession_id,MGI:1922423
mouse_strain,C57BL
pvalue,0.5098811
