parameter_name,Head size
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Casq2
pvalue,0.5976438
gene_accession_id,MGI:1309469
analysis_id,11391j95581d7sx
parameter_id,IMPC_CSD_025_001
