gene_accession_id,MGI:2443564
gene_symbol,Ambra1
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,JAX_OFD_007_001
pvalue,0.9008626
parameter_name,Whole arena resting time
analysis_id,26m114r3qu1uuja
