analysis_id,1s2dz6sq99o5u8a
pvalue,0.8000219
mouse_life_stage,Early adult
gene_accession_id,MGI:2139461
parameter_id,IMPC_HEM_032_001
gene_symbol,Tmem62
parameter_name,Lymphocyte cell count
mouse_strain,C57BL
