gene_accession_id,MGI:88015
gene_symbol,Ampd1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_010_001
pvalue,0.4891701
parameter_name,HRV
analysis_id,0e7wb9zw25mg65m
