mouse_life_stage,Early adult
pvalue,0.2481734
gene_symbol,Cst3
parameter_id,IMPC_IMM_032_002
parameter_name,Effector CD8+ T cells - % of live leukocytes (Panel A)
gene_accession_id,MGI:102519
analysis_id,0o55saokd570j7m
mouse_strain,C57BL
