pvalue,0.6676386
gene_symbol,Pced1a
parameter_name,Mean-corpuscular-haemoglobin
analysis_id,2540za5k1s5alha
mouse_strain,C57BL
parameter_id,M-G-P_016_001_006
mouse_life_stage,Early adult
gene_accession_id,MGI:2442177
