mouse_strain,C57BL
gene_symbol,Mpdz
parameter_name,Mean cell volume
gene_accession_id,MGI:1343489
pvalue,0.8171846
analysis_id,1o19d4kg1yn002a
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_005
