parameter_id,IMPC_CSD_023_001
mouse_life_stage,Early adult
gene_symbol,Aplnr
parameter_name,Vibrissae - presence
mouse_strain,C57BL
pvalue,0.2980649
gene_accession_id,MGI:1346086
analysis_id,19487t7926tuy2a
