pvalue,0.2978616
parameter_id,IMPC_IMM_014_002
gene_accession_id,MGI:98960
analysis_id,0hi37h84jp370ia
mouse_life_stage,E12.5
parameter_name,Treg cells - % of live leukocytes (Panel A)
mouse_strain,C57BL
gene_symbol,Wnt6
