analysis_id,0vpku842j4p8g3a
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_063_001
gene_symbol,Lrat
mouse_strain,C57BL
parameter_name,Delayed embryonic development
pvalue,0.5605914
gene_accession_id,MGI:1891259
