gene_accession_id,MGI:1922776
mouse_strain,C57BL
gene_symbol,Eppin
pvalue,0.8415497
analysis_id,1zi0525ncv6i44a
parameter_name,Lens
parameter_id,IMPC_EYE_016_001
mouse_life_stage,Middle aged adult
