gene_symbol,Fam83d
parameter_name,Chloride
gene_accession_id,MGI:1919128
pvalue,0.7223276
analysis_id,07g7ee269889hqx
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
