mouse_strain,C57BL
gene_symbol,Cth
parameter_id,MGP_IMM_009_001
analysis_id,18plr4a4y810ufx
parameter_name,Total Treg cells - % of CD4+
gene_accession_id,MGI:1339968
pvalue,0.1802822
mouse_life_stage,Early adult
