gene_symbol,Trim59
gene_accession_id,MGI:1914199
pvalue,0.5689619
parameter_name,Periphery resting time
mouse_strain,C57BL
parameter_id,IMPC_OFD_011_001
mouse_life_stage,E18.5
analysis_id,1wlr5c9zz69618a
