mouse_life_stage,Early adult
gene_accession_id,MGI:97850
mouse_strain,C57BL
analysis_id,1896l539880200m
parameter_name,Iron
pvalue,0.06790835
gene_symbol,Raly
parameter_id,ESLIM_015_001_011
