gene_symbol,Cstdc2
analysis_id,120259h5195nkhx
parameter_name,Dark side time spent
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.941269
gene_accession_id,MGI:1924955
parameter_id,CCP_LDT_004_001
