mouse_life_stage,Early adult
gene_symbol,Pced1a
analysis_id,0qxn31369ji8c0m
parameter_id,CCP_LFO_001_001
gene_accession_id,MGI:2442177
parameter_name,Weight
mouse_strain,C57BL
pvalue,0.9022464
